businessentityid;nationalidnumber;loginid;jobtitle;birthdate;maritalstatus;gender;hiredate;salariedflag;vacationhours;sickleavehours;currentflag;modifieddate;organizationnode
184;305522471;adventure-works\john2;Production Technician - WC20;05-04-1986;M;M;09-02-2009;0;18;29;1;2014-06-30 00:00:00.000;0x7AF05E10
185;621932914;adventure-works\stefen0;Production Technician - WC20;21-12-1975;S;M;28-02-2009;0;19;29;1;2014-06-30 00:00:00.000;0x7AF05E30
186;551834634;adventure-works\shane0;Production Supervisor - WC45;24-05-1990;S;M;08-02-2009;0;75;57;1;2014-06-30 00:00:00.000;0x7AF064
187;713403643;adventure-works\yvonne0;Production Technician - WC45;15-04-1989;M;F;09-12-2008;0;79;59;1;2014-06-30 00:00:00.000;0x7AF06560
188;435234965;adventure-works\douglas0;Production Technician - WC45;24-11-1985;M;M;27-12-2008;0;80;60;1;2014-06-30 00:00:00.000;0x7AF065A0
189;187369436;adventure-works\janeth0;Production Technician - WC45;24-07-1972;S;F;15-01-2009;0;81;60;1;2014-06-30 00:00:00.000;0x7AF065E0
190;456839592;adventure-works\robert0;Production Technician - WC45;28-02-1985;S;M;02-02-2009;0;82;61;1;2014-06-30 00:00:00.000;0x7AF06610
191;399658727;adventure-works\lionel0;Production Technician - WC45;14-03-1988;S;M;26-02-2009;0;78;59;1;2014-06-30 00:00:00.000;0x7AF06630
192;634335025;adventure-works\brenda0;Production Supervisor - WC40;28-02-1983;M;F;05-03-2009;0;71;55;1;2014-06-30 00:00:00.000;0x7AF06C
193;761597760;adventure-works\alejandro0;Production Technician - WC40;05-12-1988;S;M;06-12-2008;0;52;46;1;2014-06-30 00:00:00.000;0x7AF06D60
194;295971920;adventure-works\fred0;Production Technician - WC40;25-06-1989;S;M;12-12-2008;0;47;43;1;2014-06-30 00:00:00.000;0x7AF06DA0
195;918737118;adventure-works\kevin1;Production Technician - WC40;25-12-1985;S;M;17-12-2008;0;58;49;1;2014-06-30 00:00:00.000;0x7AF06DE0
196;370487086;adventure-works\shammi0;Production Technician - WC40;04-10-1980;M;M;24-12-2008;0;53;46;1;2014-06-30 00:00:00.000;0x7AF06E10
197;632092621;adventure-works\rajesh0;Production Technician - WC40;04-10-1977;M;M;31-12-2008;0;48;44;1;2014-06-30 00:00:00.000;0x7AF06E30
198;19312190;adventure-works\lorraine0;Production Technician - WC40;26-11-1988;M;F;04-01-2009;0;49;44;1;2014-06-30 00:00:00.000;0x7AF06E50
199;992874797;adventure-works\paula1;Production Technician - WC40;10-02-1987;M;F;12-01-2009;0;54;47;1;2014-06-30 00:00:00.000;0x7AF06E70
200;749211824;adventure-works\frank0;Production Technician - WC40;06-09-1987;M;M;17-01-2009;0;56;48;1;2014-06-30 00:00:00.000;0x7AF06E88
201;746201340;adventure-works\brian0;Production Technician - WC40;10-02-1977;S;M;29-01-2009;0;55;47;1;2014-06-30 00:00:00.000;0x7AF06E98
202;436757988;adventure-works\tawana0;Production Technician - WC40;10-11-1989;S;M;05-02-2009;0;50;45;1;2014-06-30 00:00:00.000;0x7AF06EA8
203;693168613;adventure-works\ken1;Production Technician - WC40;28-05-1981;M;M;24-02-2009;0;51;45;1;2014-06-30 00:00:00.000;0x7AF06EB8
204;440379437;adventure-works\gabe0;Production Technician - WC40;10-05-1988;M;M;08-03-2009;0;57;48;1;2014-06-30 00:00:00.000;0x7AF06EC8
205;332349500;adventure-works\lori0;Production Supervisor - WC45;18-07-1980;S;F;26-02-2009;0;76;58;1;2014-06-30 00:00:00.000;0x7AF074
206;835460180;adventure-works\stuart0;Production Technician - WC45;13-09-1962;S;M;02-12-2008;0;84;62;1;2014-06-30 00:00:00.000;0x7AF07560
207;687685941;adventure-works\greg0;Production Technician - WC45;18-10-1970;S;M;02-12-2008;0;85;62;1;2014-06-30 00:00:00.000;0x7AF075A0
208;199546871;adventure-works\scott0;Production Technician - WC45;10-02-1987;M;M;08-01-2009;0;86;63;1;2014-06-30 00:00:00.000;0x7AF075E0
209;167554340;adventure-works\kathie0;Production Technician - WC45;01-11-1990;M;F;27-01-2009;0;87;63;1;2014-06-30 00:00:00.000;0x7AF07610
210;20244403;adventure-works\belinda0;Production Technician - WC45;17-09-1969;S;F;20-02-2009;0;83;61;1;2014-06-30 00:00:00.000;0x7AF07630
211;398223854;adventure-works\hazem0;Quality Assurance Manager;26-10-1977;S;M;28-02-2009;1;80;60;1;2014-12-26 09:17:08.637;0x7B40
212;885055826;adventure-works\peng0;Quality Assurance Supervisor;18-03-1976;M;M;09-12-2008;1;81;60;1;2014-06-30 00:00:00.000;0x7B56
213;343861179;adventure-works\sootha0;Quality Assurance Technician;05-12-1966;M;M;23-02-2010;0;85;62;1;2014-06-30 00:00:00.000;0x7B56B0
214;131471224;adventure-works\andreas0;Quality Assurance Technician;28-03-1989;M;M;02-02-2009;0;84;62;1;2014-06-30 00:00:00.000;0x7B56D0
215;381772114;adventure-works\mark0;Quality Assurance Technician;30-04-1986;S;M;15-01-2009;0;83;61;1;2014-06-30 00:00:00.000;0x7B56F0
216;403414852;adventure-works\sean0;Quality Assurance Technician;06-03-1976;S;M;28-12-2008;0;82;61;1;2014-06-30 00:00:00.000;0x7B5708
217;345106466;adventure-works\zainal0;Document Control Manager;30-01-1976;M;M;04-01-2009;0;77;58;1;2014-06-30 00:00:00.000;0x7B5A
218;540688287;adventure-works\tengiz0;Control Specialist;28-04-1990;S;M;16-12-2008;0;76;58;1;2014-06-30 00:00:00.000;0x7B5AB0
219;242381745;adventure-works\sean1;Document Control Assistant;12-03-1987;S;M;22-01-2009;0;78;59;1;2014-06-30 00:00:00.000;0x7B5AD0
220;260770918;adventure-works\karen0;Document Control Assistant;25-12-1975;M;F;09-02-2009;0;79;59;1;2014-06-30 00:00:00.000;0x7B5AF0
221;260805477;adventure-works\chris1;Control Specialist;26-05-1987;M;M;06-03-2009;0;75;57;1;2014-06-30 00:00:00.000;0x7B5B08
222;685233686;adventure-works\ascott0;Master Scheduler;17-09-1968;S;M;12-12-2008;0;44;42;1;2014-12-26 09:17:08.637;0x7BC0
223;981495526;adventure-works\sairaj0;Scheduling Assistant;22-12-1987;M;M;26-01-2009;0;46;43;1;2014-06-30 00:00:00.000;0x7BD6
224;621209647;adventure-works\william0;Scheduling Assistant;06-11-1981;M;M;07-01-2009;0;45;42;1;2014-06-30 00:00:00.000;0x7BDA
225;470689086;adventure-works\alan0;Scheduling Assistant;29-03-1984;M;M;13-02-2009;0;47;43;1;2014-06-30 00:00:00.000;0x7BDE
226;368691270;adventure-works\brian1;Scheduling Assistant;11-08-1984;M;M;03-03-2009;0;48;44;1;2014-06-30 00:00:00.000;0x7BE1
227;141165819;adventure-works\gary1;Facilities Manager;18-02-1971;M;M;02-12-2009;1;86;63;1;2014-06-30 00:00:00.000;0x7C20
228;553069203;adventure-works\christian0;Maintenance Supervisor;18-01-1976;M;M;14-12-2008;1;92;66;1;2014-06-30 00:00:00.000;0x7C2B
229;879334904;adventure-works\lori1;Janitor;31-07-1970;M;F;16-02-2010;0;90;65;1;2014-06-30 00:00:00.000;0x7C2B58
230;28414965;adventure-works\stuart1;Janitor;17-12-1971;M;M;05-03-2010;0;88;64;1;2014-06-30 00:00:00.000;0x7C2B68
231;153479919;adventure-works\jo1;Janitor;24-04-1954;M;F;07-03-2010;0;91;65;1;2014-06-30 00:00:00.000;0x7C2B78
232;646304055;adventure-works\pat0;Janitor;03-12-1970;S;M;27-01-2010;0;89;64;1;2014-06-30 00:00:00.000;0x7C2B84
233;552560652;adventure-works\magnus0;Facilities Administrative Assistant;27-08-1971;M;M;21-12-2009;0;87;63;1;2014-06-30 00:00:00.000;0x7C2D
234;184188301;adventure-works\laura1;Chief Financial Officer;06-01-1976;M;F;31-01-2009;1;0;20;1;2014-06-30 00:00:00.000;0x84
235;535145551;adventure-works\paula0;Human Resources Manager;11-02-1976;M;F;06-12-2008;1;54;47;1;2014-06-30 00:00:00.000;0x8560
236;476980013;adventure-works\grant0;Human Resources Administrative Assistant;16-04-1976;S;M;25-02-2009;0;53;46;1;2014-06-30 00:00:00.000;0x856B
237;416679555;adventure-works\hao0;Human Resources Administrative Assistant;17-04-1977;S;M;06-02-2009;0;52;46;1;2014-06-30 00:00:00.000;0x856D
238;264306399;adventure-works\vidur0;Recruiter;01-08-1984;S;M;01-01-2009;0;50;45;1;2014-06-30 00:00:00.000;0x856F
239;619308550;adventure-works\mindy0;Benefits Specialist;20-11-1984;M;F;25-12-2008;0;51;45;1;2014-06-30 00:00:00.000;0x857080
240;332040978;adventure-works\willis0;Recruiter;18-07-1978;S;M;13-12-2008;0;49;44;1;2014-06-30 00:00:00.000;0x857180
241;30845;adventure-works\david6;Accounts Manager;08-07-1983;M;M;30-01-2009;1;57;48;1;2014-06-30 00:00:00.000;0x85A0
242;363923697;adventure-works\deborah0;Accounts Receivable Specialist;06-03-1976;M;F;18-12-2008;0;60;50;1;2014-06-30 00:00:00.000;0x85AB
243;60517918;adventure-works\candy0;Accounts Receivable Specialist;23-02-1976;S;F;06-01-2009;0;61;50;1;2014-06-30 00:00:00.000;0x85AD
244;931190412;adventure-works\bryan1;Accounts Receivable Specialist;20-09-1984;S;M;24-01-2009;0;62;51;1;2014-06-30 00:00:00.000;0x85AF
245;363910111;adventure-works\barbara1;Accountant;04-01-1976;M;F;18-02-2009;1;58;49;1;2014-06-30 00:00:00.000;0x85B080
246;663843431;adventure-works\dragan0;Accounts Payable Specialist;14-02-1977;M;M;11-02-2009;0;63;51;1;2014-06-30 00:00:00.000;0x85B180
247;519756660;adventure-works\janet0;Accounts Payable Specialist;09-03-1979;M;F;01-03-2009;0;64;52;1;2014-06-30 00:00:00.000;0x85B280
248;480951955;adventure-works\mike0;Accountant;01-07-1979;S;M;08-03-2009;1;59;49;1;2014-06-30 00:00:00.000;0x85B380
249;121491555;adventure-works\wendy0;Finance Manager;11-10-1984;S;F;25-12-2008;1;55;47;1;2014-06-30 00:00:00.000;0x85E0
250;895209680;adventure-works\sheela0;Purchasing Manager;10-02-1978;S;F;25-02-2011;1;49;44;1;2014-06-30 00:00:00.000;0x85EB
251;603686790;adventure-works\mikael0;Buyer;17-08-1984;S;M;10-02-2009;0;59;49;1;2014-06-30 00:00:00.000;0x85EB58
252;792847334;adventure-works\arvind0;Buyer;21-08-1974;M;M;28-02-2009;0;60;50;1;2014-06-30 00:00:00.000;0x85EB68
253;407505660;adventure-works\linda2;Buyer;30-11-1970;M;F;17-12-2009;0;56;48;1;2014-06-30 00:00:00.000;0x85EB78
254;482810518;adventure-works\fukiko0;Buyer;24-11-1970;M;M;04-01-2010;0;57;48;1;2014-06-30 00:00:00.000;0x85EB84
255;466142721;adventure-works\gordon0;Buyer;29-11-1966;M;M;11-01-2010;0;52;46;1;2014-06-30 00:00:00.000;0x85EB8C
256;367453993;adventure-works\frank2;Buyer;12-05-1952;M;M;23-01-2010;0;58;49;1;2014-06-30 00:00:00.000;0x85EB94
257;381073001;adventure-works\eric2;Buyer;17-09-1972;S;M;27-01-2010;0;54;47;1;2014-06-30 00:00:00.000;0x85EB9C
258;785853949;adventure-works\erin0;Buyer;04-01-1971;S;F;31-01-2010;0;53;46;1;2014-06-30 00:00:00.000;0x85EBA2
259;20269531;adventure-works\ben0;Buyer;03-06-1973;M;M;09-03-2010;0;55;47;1;2014-06-30 00:00:00.000;0x85EBA6
260;437296311;adventure-works\annette0;Purchasing Assistant;29-01-1978;M;F;06-12-2010;0;50;45;1;2014-06-30 00:00:00.000;0x85EBAA
261;280633567;adventure-works\reinout0;Purchasing Assistant;17-01-1978;M;M;25-12-2010;0;51;45;1;2014-06-30 00:00:00.000;0x85EBAE
262;231203233;adventure-works\david5;Assistant to the Chief Financial Officer;21-06-1964;S;M;12-01-2009;0;56;48;1;2014-06-30 00:00:00.000;0x8610
263;441044382;adventure-works\jean0;Information Services Manager;13-12-1975;S;F;11-12-2008;1;65;52;1;2014-06-30 00:00:00.000;0x8C
264;858323870;adventure-works\stephanie0;Network Manager;25-03-1984;S;F;04-02-2009;1;68;54;1;2014-06-30 00:00:00.000;0x8D60
265;749389530;adventure-works\ashvini0;Network Administrator;27-03-1977;S;M;04-12-2008;0;70;55;1;2014-06-30 00:00:00.000;0x8D6B
266;672243793;adventure-works\peter1;Network Administrator;28-05-1980;S;M;23-02-2009;0;69;54;1;2014-06-30 00:00:00.000;0x8D6D
267;58317344;adventure-works\karen1;Application Specialist;19-05-1978;S;F;16-02-2009;1;74;57;1;2014-06-30 00:00:00.000;0x8DA0
268;314747499;adventure-works\ramesh0;Application Specialist;13-03-1988;S;M;03-02-2009;1;73;56;1;2014-06-30 00:00:00.000;0x8DE0
269;671089628;adventure-works\dan0;Application Specialist;26-05-1987;M;M;11-01-2009;1;72;56;1;2014-06-30 00:00:00.000;0x8E10
270;643805155;adventure-works\françois0;Database Administrator;17-05-1975;S;M;17-01-2009;1;67;53;1;2014-06-30 00:00:00.000;0x8E30
271;929666391;adventure-works\dan1;Database Administrator;06-01-1976;M;M;22-01-2009;1;66;53;1;2014-06-30 00:00:00.000;0x8E50
272;525932996;adventure-works\janaina0;Application Specialist;30-01-1985;M;F;23-12-2008;1;71;55;1;2014-06-30 00:00:00.000;0x8E70
273;112432117;adventure-works\brian3;Vice President of Sales;06-06-1977;S;M;15-02-2011;1;10;25;1;2014-06-30 00:00:00.000;0x94
274;502097814;adventure-works\stephen0;North American Sales Manager;17-10-1951;M;M;04-01-2011;1;14;27;1;2014-06-30 00:00:00.000;0x9560
275;841560125;adventure-works\michael9;Sales Representative;25-12-1968;S;M;31-05-2011;1;38;39;1;2014-06-30 00:00:00.000;0x956B
276;191644724;adventure-works\linda3;Sales Representative;27-02-1980;M;F;31-05-2011;1;27;33;1;2014-06-30 00:00:00.000;0x956D
277;615389812;adventure-works\jillian0;Sales Representative;29-08-1962;S;F;31-05-2011;1;24;32;1;2014-06-30 00:00:00.000;0x956F
278;234474252;adventure-works\garrett1;Sales Representative;04-02-1975;M;M;31-05-2011;1;33;36;1;2014-06-30 00:00:00.000;0x957080
279;716374314;adventure-works\tsvi0;Sales Representative;18-01-1974;M;M;31-05-2011;1;29;34;1;2014-06-30 00:00:00.000;0x957180
280;61161660;adventure-works\pamela0;Sales Representative;06-12-1974;S;F;31-05-2011;1;22;31;1;2014-06-30 00:00:00.000;0x957280
281;139397894;adventure-works\shu0;Sales Representative;09-03-1968;M;M;31-05-2011;1;26;33;1;2014-06-30 00:00:00.000;0x957380
282;399771412;adventure-works\josé1;Sales Representative;11-12-1963;M;M;31-05-2011;1;31;35;1;2014-06-30 00:00:00.000;0x957440
283;987554265;adventure-works\david8;Sales Representative;11-02-1974;S;M;31-05-2011;1;23;31;1;2014-06-30 00:00:00.000;0x9574C0
284;90836195;adventure-works\tete0;Sales Representative;05-01-1978;M;M;30-09-2012;1;39;39;1;2014-06-30 00:00:00.000;0x957540
285;481044938;adventure-works\syed0;Pacific Sales Manager;11-01-1975;M;M;14-03-2013;1;20;30;1;2014-06-30 00:00:00.000;0x95A0
286;758596752;adventure-works\lynn0;Sales Representative;14-02-1977;S;F;30-05-2013;1;36;38;1;2014-06-30 00:00:00.000;0x95AB
287;982310417;adventure-works\amy0;European Sales Manager;20-09-1957;M;F;16-04-2012;1;21;30;1;2014-06-30 00:00:00.000;0x95E0
288;954276278;adventure-works\rachel0;Sales Representative;09-07-1975;S;F;30-05-2013;1;35;37;1;2014-06-30 00:00:00.000;0x95EB
289;668991357;adventure-works\jae0;Sales Representative;17-03-1968;M;F;30-05-2012;1;37;38;1;2014-06-30 00:00:00.000;0x95ED
290;134219713;adventure-works\ranjit0;Sales Representative;30-09-1975;S;M;30-05-2012;1;34;37;1;2014-06-30 00:00:00.000;0x95EF
